cis,nom_commercial,dci,atc
61266250,"A 313 200 000 UI POUR CENT, pommade","CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE",
62869109,"A 313 50 000 U.I., capsule molle","CONCENTRAT DE VITAMINE A SYNTHÉTIQUE, FORME HUILEUSE",
69103878,"A.D.N. BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH",A.D.N. POUR PRÉPARATIONS HOMÉOPATHIQUES,
61876780,"ABACAVIR ARROW 300 mg, comprimé pelliculé sécable",SULFATE D'ABACAVIR,J05AF06
63797011,"ABACAVIR SANDOZ 300 mg, comprimé pelliculé sécable",ABACAVIR,J05AF06
62401060,"ABACAVIR VIATRIS 300 mg, comprimé pelliculé sécable",ABACAVIR,J05AF06
68257528,"ABACAVIR/LAMIVUDINE ACCORD 600 mg/300 mg, comprimé pelliculé",CHLORHYDRATE D'ABACAVIR MONOHYDRATÉ; LAMIVUDINE,
62828870,"ABACAVIR/LAMIVUDINE ARROW 600 mg/300 mg, comprimé pelliculé",LAMIVUDINE; SULFATE D'ABACAVIR,J05AR02
63431640,"ABACAVIR/LAMIVUDINE BIOGARAN 600 mg/300 mg, comprimé pelliculé",ABACAVIR; LAMIVUDINE,J05AR02
65196479,"ABACAVIR/LAMIVUDINE EG 600 mg/300 mg, comprimé pelliculé",ABACAVIR; LAMIVUDINE,J05AR02
62170486,"ABACAVIR/LAMIVUDINE MYLAN 600 mg/300 mg, comprimé pelliculé",CHLORHYDRATE D'ABACAVIR MONOHYDRATÉ; LAMIVUDINE,
67720261,"ABACAVIR/LAMIVUDINE SANDOZ 600 mg/300 mg, comprimé pelliculé",CHLORHYDRATE D'ABACAVIR MONOHYDRATÉ; LAMIVUDINE,J05AR02
65857902,"ABACAVIR/LAMIVUDINE TEVA 600 mg/300 mg, comprimé pelliculé",ABACAVIR; LAMIVUDINE,J05AR02
67567004,"ABACAVIR/LAMIVUDINE VIATRIS 600 mg/300 mg, comprimé pelliculé",ABACAVIR (SULFATE D'); LAMIVUDINE,J05AR02
62202005,"ABACAVIR/LAMIVUDINE ZENTIVA 600 mg/300 mg, comprimé pelliculé",LAMIVUDINE; SULFATE D'ABACAVIR,J05AR02
63152345,"ABACAVIR/LAMIVUDINE/ZIDOVUDINE VIATRIS 300 mg/150 mg/300 mg, comprimé pelliculé",LAMIVUDINE; SULFATE D'ABACAVIR; ZIDOVUDINE,J05AR04
66513085,"ABASAGLAR 100 unités/ml, solution injectable en cartouche",INSULINE GLARGINE,A10AE04
64332894,"ABASAGLAR 100 unités/ml, solution injectable en stylo prérempli",INSULINE GLARGINE,A10AE04
65329132,"ABECMA 260 - 500 x 1 000 000 cellules, dispersion pour perfusion",IDÉCABTAGÈNE VICLEUCEL,L01XL07
60386663,"ABELMOSCHUS BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH",ABELMOSCHUS POUR PRÉPARATIONS HOMÉOPATHIQUES,
67397826,"ABEVMY 25 mg/mL, solution à diluer pour perfusion",BÉVACIZUMAB,L01FG01
